IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182782,2020-03-19T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182783,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,2,0,182784,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,182785,2020-03-10T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,182786,2020-03-18T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,182787,2020-03-19T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,182788,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,182789,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,182790,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,3,0,182791,2020-03-13T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,182792,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,2,0,182793,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,182794,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,182795,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,182796,2020-03-13T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,182797,2020-03-16T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,182798,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,W,1,0,182799,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A80+,W,1,0,182800,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,182801,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,182802,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,182803,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,182804,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A00-A04,M,1,0,182805,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,2,0,182806,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,1,0,182807,2020-03-18T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,182808,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,182809,2020-03-23T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,182810,2020-03-12T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,3,0,182811,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,182812,2020-03-19T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,182813,2020-03-21T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,2,0,182814,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,182815,2020-03-19T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,182816,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,182817,2020-03-21T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,182818,2020-03-22T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,182819,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,182820,2020-03-23T00:00:00.000Z,01054,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A00-A04,M,1,0,182821,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A15-A34,M,1,0,182822,2020-03-23T00:00:00.000Z,01055,24.03.2020 00:00
1,Schleswig-Holstein,LK Ostholstein,A15-A34,W,2,0,182823,2020-03-23T00:00:00.000Z,01055,24.03.2020 00:00
